,0
0,175.37596854360515
1,175.59194227851583
2,175.80791601342656
3,175.99395135005156
4,176.3058777481547
5,176.2379656601097
6,176.60397293971553
7,176.6633397975006
8,176.72332835428153
9,176.77543258162896
10,176.79233605687097
11,176.6044034958187
12,176.6062060799846
13,176.42278872587093
14,176.29738307134113
15,176.09654142762946
16,175.98312019972713
17,175.85465561240113
18,175.86241486087079
19,175.80179165445549
20,175.80761801756424
21,175.80233786037792
22,175.562357731256
23,175.61010871639422
24,175.66823045683353
25,175.54886856658771
26,175.80325070497565
27,176.18435442093028
28,176.32672312510869
29,176.2183422512276
30,176.47272438961556
31,175.96969101351579
32,175.58984364619147
33,175.2099962788671
34,174.95445388761743
35,174.57237079861437
36,174.6945774343414
37,174.5612976671054
38,174.0558669402175
39,173.67222172874799
40,173.28983286590875
41,172.90618765443918
42,172.5238263224051
43,172.513615950023
44,172.6274006587579
45,172.7411853674928
46,172.8366788391096
47,172.80580372234994
48,172.75464194481356
49,172.6258722616107
50,172.46990466266632
51,172.32583342631767
52,172.31470524388277
53,172.3188776028673
54,172.0350453730445
55,171.7749648334775
56,171.63899498178964
57,171.6213638406261
58,171.7269264210434
59,172.1624268752475
60,172.9130150138036
61,173.66189504874848
62,174.76497684696338
63,176.1295338858058
64,176.75638105039314
65,176.56693910140314
66,175.11751317235468
67,172.74605737007178
68,168.5737892690122
69,164.05470376448594
70,159.1538099110925
71,154.18252953553406
72,148.67329852879132
73,143.10849455110744
74,136.94167694413957
75,130.07540103374953
76,122.87966713242622
77,115.57241519431099
78,107.96291231279413
79,100.31781928996396
80,93.200069339518
81,86.25008043345667
82,79.70962679250526
83,74.01199092504564
84,69.51798928977311
85,65.89113979656675
86,63.67547771368312
87,62.63543006559011
88,63.488425116322084
89,65.95025895728321
90,69.92829713314273
91,75.67649379957714
92,83.02350384463834
93,91.57261523501636
94,101.79667325969427
95,113.58666659226094
96,126.443859935071
97,141.07769175993977
98,154.52453498988075
99,163.5865697439118
100,169.38484460678382
101,172.53458527242122
102,172.178986902305
103,171.2065775478297
104,171.7700266870037
105,172.68964221098946
106,173.6247444105495
107,174.20997019745437
108,174.78542313958326
109,175.3608760817122
110,175.94519977740947
111,176.19356859284173
112,176.69306466882696
113,176.94353878570573
114,177.20219022462842
115,177.5870514683166
116,177.94906705156978
117,178.06201668279178
118,178.30521468187118
119,178.65175158811928
120,178.66780517781086
121,178.81030336948726
122,178.71425191103828
123,178.50078305175526
124,178.05544641174524
125,177.806014216341
126,177.0793154397037
127,176.69563405740575
128,176.44908545039436
129,176.1828390183508
130,175.56754713281128
131,175.4274977562647
132,174.91861371835066
133,174.01721406866199
134,173.37771166111804
135,172.87707875377004
136,171.97768594709544
137,171.3318911759399
138,170.80906102444732
139,170.01217464467618
140,169.68304524377606
141,169.87730741742595
142,169.69588035839274
143,169.55990883345055
144,169.4477664473186
145,168.56083150482806
146,166.67228215953838
147,164.81899239707167
148,162.58536229286824
149,162.97552071284875
150,164.2814417344602
151,166.20265026141422
152,168.84728801576952
153,171.80241757983566
154,172.2716309461456
155,172.22578341907646
156,172.33258684963965
157,172.42129788534385
158,172.5079666138804
159,172.53644514759694
160,172.96090739971197
161,173.67100652112205
162,173.92536727378922
163,174.49715669163334
164,175.05470606589094
165,175.71717408846638
166,176.40542671931289
167,177.2337655771907
168,177.36206861099163
169,176.79220371136162
170,175.12222988143574
171,172.18161757493118
172,168.4492702534905
173,164.2988471257218
174,159.7484486528789
175,154.52705620770047
176,149.20132074514643
177,143.95673436219457
178,138.68747348879782
179,133.99890988121638
180,130.49070249757918
181,127.91197837693696
182,128.2219769502217
183,128.93099547410458
184,130.18319968631562
185,131.6154054113196
186,133.77193739848553
187,134.43642260815798
188,136.31848959309363
189,139.04224416328788
190,142.56587141886288
191,146.57513125924064
192,151.2007826291447
193,156.16560090801744
194,162.04495297451228
195,168.02376591212786
196,171.56505882535015
197,173.34193752177424
198,173.68940092905274
199,172.36619100551496
200,170.8890325193638
201,171.41193974690873
202,172.61677103665156
203,174.7858185070807
204,176.37372435215906
205,176.58211623009507
206,175.55349777506666
207,174.3554639125723
208,172.2156162468265
209,170.9320208592834
210,170.24888994328
211,170.43208451963488
212,170.76469054397248
213,171.43260576943297
214,171.79647421979763
215,172.99666060692175
216,174.43271527837769
217,175.2170323583743
218,174.70812646168207
219,176.02477156762956
220,176.06871137416385
221,175.49058583936142
222,174.9920147838307
223,175.368414624556
224,173.87399872245885
225,172.48347465055264
226,170.91022046306523
227,169.80014403325816
228,169.30787917628007
229,169.33834166401593
230,169.94417249604058
231,171.18376087022585
232,172.72922600369048
233,174.37182360220484
234,175.92517926293186
235,176.91396003936535
236,176.88685753007138
237,175.605303953165
238,173.03183284110247
239,168.7058951595431
240,163.5275028960112
241,157.8407866395254
242,152.22216018787876
243,146.70043616511916
244,141.52672136362543
245,137.1878091969643
246,133.37644164859466
247,130.2977533678631
248,128.22021965890596
249,126.82837952172933
250,126.05590669140966
251,126.67733869851773
252,127.91813638596099
253,131.2880467047298
254,135.1211498542372
255,138.45688519851686
256,141.6632844184997
257,145.12750949718122
258,147.49409376141682
259,150.7890984211245
260,155.80291421576524
261,161.67380036020103
262,167.4001187817961
263,170.89151150007353
264,172.6572246815739
265,172.85945341682805
266,171.77895864575964
267,170.75710704528979
268,171.71726645812652
269,173.76780561064905
270,175.1381913814002
271,175.45611496652305
272,174.51852651045488
273,172.62204763505724
274,170.0870444913136
275,168.26510262910148
276,167.22401645241604
277,166.8058105764389
278,166.71144335063477
279,167.0866003702904
280,167.4608155565559
281,168.18146209254496
282,169.24268778358632
283,170.9156885651036
284,172.51948987196585
285,174.4531404595018
286,176.14008176894743
287,177.4730813234056
288,177.68735542596733
289,177.27816383945384
290,176.19994919697268
291,174.6304728199217
292,173.12236261925165
293,171.93734009162995
294,171.15635726112276
295,170.70284271610183
296,171.07104639456122
297,171.55519885290903
298,172.0679050500297
299,172.95740261868252
300,174.60871840747507
301,176.1028012189891
302,177.13810221601494
303,177.18582759124484
304,175.48285150811358
305,172.1685246470107
306,167.60929984567744
307,161.66714443316152
308,155.57066412337957
309,149.81816006066248
310,144.14309175879316
311,138.9143366344219
312,134.60145287304573
313,130.94294154268744
314,127.99701662444001
315,126.345334466118
316,125.284679160765
317,125.43461491451178
318,126.4940827951291
319,128.32612332128332
320,130.55412584087645
321,134.94110645445738
322,139.38299245088993
323,143.81421465822422
324,148.66130518272018
325,153.69366666499576
326,158.07535645751528
327,162.88079214977347
328,168.01231003529773
329,171.3972858322171
330,173.14747783363822
331,172.92869966354496
332,172.01856297429424
333,171.0113371873332
334,171.65825926013025
335,173.51793397897845
336,175.6916732316263
337,176.643266446587
338,175.7964390293452
339,173.9827257178295
340,171.19521779928476
341,168.56168745293428
342,167.0108097478342
343,166.534911226084
344,166.63570160897865
345,167.30163863707094
346,168.61876167078913
347,170.96721921186065
348,172.47496719398154
349,173.98181789453542
350,175.58966504618027
351,177.05408659708084
352,177.37520817453924
353,177.97962355667187
354,177.8714040887763
355,177.22953187874703
356,175.64873052642426
357,173.87092006597496
358,172.97892725812272
359,171.87095347577278
360,170.9222134074023
361,170.73857123071357
362,170.83769825812806
363,170.6803153803067
364,171.57523819664638
365,172.80595345509727
366,174.03057288180807
367,175.47094558340314
368,176.66169343792524
369,176.47215002791495
370,175.07009744434035
371,171.98963617289783
372,167.17121326559982
373,161.35842346008207
374,155.41763244539928
375,149.46606171820787
376,143.7753080796369
377,138.53542584866017
378,133.6882280843248
379,129.36968647087778
380,125.58451492096874
381,122.55894085497108
382,120.63513964126635
383,119.49034226564726
384,118.85731083051023
385,118.99832513003466
386,119.63633029524755
387,120.59656236342502
388,122.41997151485961
389,124.66610752470461
390,128.1492310772802
391,132.15685222042768
392,137.27690045181902
393,142.76776518719143
394,149.09369927175638
395,156.36886827394784
396,163.9978932216724
397,168.93068967447363
398,171.86155515892273
399,173.09844607112433
400,172.55087763127298
401,171.27029959044484
402,171.76314527815404
403,173.02166830589965
404,175.12444877616383
405,176.2395184502412
406,176.5375464577711
407,176.09094945444812
408,175.1548684757608
409,174.054201661226
410,173.33078959627431
411,173.40800461375147
412,173.9538490094564
413,175.61113331020272
414,167.9553339390729
415,155.0017732541337
416,141.97878587015845
417,139.43177415490146
418,129.85570386412118
419,130.50076445436122
420,135.0614575988663
421,140.80149329754698
422,135.805652733297
423,135.48426891395016
424,135.805652733297
425,137.51421705043475
426,135.59447964880673
427,130.68586384467383
428,106.75614715739238
429,96.1393718073331
430,91.70878032855609
431,89.8576758356432
432,89.01684158549308
433,109.86384507981666
434,117.40780332987276
435,117.34448186159624
436,116.96161637116023
437,118.68050237139184
438,101.42171527208832
439,82.40012003898345
440,61.36202106707123
441,57.4386761989037
442,53.043238730906005
443,65.0338903592656
444,78.54391360883898
445,99.05143510624035
446,104.00910585963499
447,109.8043049665864
448,117.44595714518158
449,125.30917613566021
450,128.15194459719655
451,127.3353409945779
452,127.88565309284091
453,126.2746504531614
454,124.70909290034479
455,122.68445499545535
456,122.68100055067202
457,119.41038884007644
458,118.07166186561562
459,120.1788439485691
460,122.6325637811505
461,114.30283142256206
462,106.60406788348482
463,97.6113683203991
464,82.42658792319556
465,67.937828885708
466,62.9160820070186
467,56.80163502180808
468,52.35314284202328
469,47.52875961684566
470,42.00789263514402
471,37.34999304294543
472,41.65894184026122
473,
474,
475,
476,
477,
478,
479,
480,
481,
482,
483,
484,
485,
486,
487,
488,
489,
490,
491,
492,
493,
494,
495,
496,
497,
498,
499,
500,
501,
502,
503,
504,
505,
506,
507,
508,
509,
510,
511,
512,
513,
514,
515,
516,
517,
518,
519,
520,
521,
522,
523,
524,
525,
526,
